"116h -- Rakennukset (lkm, m2) käyttötarkoituksen ja lämmitysaineen mukaan, 2019"

"Rakennuksen lämmitysaine","Alue","Vuosi","Rakennuksen kerrosala (m2) Yhteensä","Rakennuksen kerrosala (m2) Erilliset pientalot","Rakennuksen kerrosala (m2) Rivi- ja ketjutalot","Rakennuksen kerrosala (m2) Asuinkerrostalot","Rakennuksen kerrosala (m2) Liikerakennukset","Rakennuksen kerrosala (m2) Toimistorakennukset","Rakennuksen kerrosala (m2) Liikenteen rakennukset","Rakennuksen kerrosala (m2) Hoitoalan rakennukset","Rakennuksen kerrosala (m2) Kokoontumisrakennukset","Rakennuksen kerrosala (m2) Opetusrakennukset","Rakennuksen kerrosala (m2) Teollisuusrakennukset","Rakennuksen kerrosala (m2) Varastorakennukset","Rakennuksen kerrosala (m2) Muut rakennukset"
"Sähkö","Maalahti","2019",141923,96517,16270,349,2994,1495,3071,194,8231,0,9633,3099,70
"Sähkö","Maarianhamina - Mariehamn","2019",163892,90441,12549,15108,6982,1252,6391,742,1599,336,25464,2889,139
"Sähkö","Marttila","2019",68313,46935,5470,507,3448,827,3448,386,2825,0,1676,2791,0
"Sähkö","Masku","2019",308514,236442,28527,0,7679,4863,7132,1208,4270,86,13604,2720,1983
"Sähkö","Merijärvi","2019",25854,16478,3371,0,394,625,158,1173,867,0,2506,0,282
"Sähkö","Merikarvia","2019",108395,76285,5925,433,5777,657,1442,652,4284,460,10348,1941,191
"Sähkö","Miehikkälä","2019",74915,53269,6532,0,521,1809,2730,697,2185,320,2370,4482,0
"Sähkö","Mikkeli","2019",998169,773071,76664,2695,37499,4053,18678,3935,14469,10032,39960,15376,1737
"Sähkö","Muhos","2019",298225,238848,21494,2864,7894,258,3505,3374,6778,3441,7002,2427,340
"Sähkö","Multia","2019",36556,26084,3712,0,2427,0,1275,230,320,670,1188,137,513
"Sähkö","Muonio","2019",93163,59597,5051,0,19239,192,3676,682,1446,0,1445,1537,298
"Sähkö","Mustasaari","2019",528156,357819,46910,196,19140,1077,22974,2487,6723,2305,41054,24011,3460
"Sähkö","Muurame","2019",255440,195151,25833,6624,5855,2458,987,0,1086,0,14814,1961,671
"Sähkö","Mynämäki","2019",212482,147881,26884,1675,5621,778,1480,2531,3931,2226,11114,8021,340
"Sähkö","Myrskylä","2019",72213,52914,6721,0,1863,835,1393,2010,2405,377,2198,1329,168
"Sähkö","Mäntsälä","2019",791600,576366,51411,5805,5025,1433,9193,3324,10684,2908,14628,108357,2466
"Sähkö","Mänttä-Vilppula","2019",211173,149662,18895,520,5014,1767,3824,0,8490,461,11376,10624,540
"Sähkö","Mäntyharju","2019",174489,115416,17225,2396,6057,436,5236,231,3412,961,20288,2726,105
"Sähkö","Naantali","2019",427373,300866,42271,2497,11983,2379,6593,2330,3929,1045,37297,13384,2799
"Sähkö","Nakkila","2019",167753,119561,14784,0,2412,5358,2664,384,1750,0,18692,2100,48
"Sähkö","Nivala","2019",240795,191615,13340,3237,7024,492,2316,2792,4290,3371,9503,2207,608
"Sähkö","Nokia","2019",707395,478709,99477,9207,6695,2403,7450,6711,6313,330,68042,20655,1403
"Sähkö","Nousiainen","2019",130060,106270,10280,1762,1068,488,937,825,939,312,4762,2318,99
"Sähkö","Nurmes","2019",255842,188847,12566,1400,17805,545,4980,1552,6531,603,17548,3258,207
"Sähkö","Nurmijärvi","2019",1332449,940153,148473,12038,13997,4937,26389,11804,6591,12342,108672,42867,4186
"Sähkö","Närpiö","2019",179582,103379,12103,9137,15923,3432,3615,1121,4364,0,20225,6283,0
"Sähkö","Orimattila","2019",521134,403195,36039,7759,9591,1583,11570,1769,8022,1136,25985,11206,3279
"Sähkö","Oripää","2019",56868,32260,6728,0,741,73,1726,506,730,0,2732,814,10558
"Sähkö","Orivesi","2019",268836,201102,29603,951,7477,1379,2741,200,1917,684,18167,3920,695
"Sähkö","Oulainen","2019",176877,131168,23819,0,3531,112,2272,1258,2158,290,7592,2566,2111
"Sähkö","Oulu","2019",2996608,2101105,335079,79663,55087,36071,57869,14647,50510,7670,139502,110919,8486
"Sähkö","Outokumpu","2019",157943,130161,4538,1370,2548,552,1306,0,3413,265,11182,2463,145
"Sähkö","Padasjoki","2019",115268,78088,9764,3018,9189,1387,2474,904,1346,470,7879,749,0
"Sähkö","Paimio","2019",268029,228230,10290,0,2953,760,2545,636,7238,1848,10197,3251,81
"Sähkö","Paltamo","2019",97690,68534,7295,1120,3010,1448,1204,437,1246,1439,9238,2673,46
"Sähkö","Parainen","2019",431753,300222,30151,638,29351,3394,12070,1620,8137,1175,27534,15605,1856
"Sähkö","Parikkala","2019",156688,114723,11613,1416,9204,4924,2302,342,6088,322,5166,588,0
"Sähkö","Parkano","2019",178404,106790,10878,1389,9253,36,5458,781,2047,369,38328,3075,0
"Sähkö","Pedersören kunta","2019",206006,139743,15546,0,4717,2893,7640,1186,3014,0,24230,6982,55
"Sähkö","Pelkosenniemi","2019",57164,26702,3468,0,19830,1244,745,509,224,600,3212,549,81
"Sähkö","Pello","2019",103013,77217,2994,349,8864,1244,2742,0,2474,487,6181,318,143
"Sähkö","Perho","2019",68935,57528,3260,0,2073,2110,1359,0,966,0,990,478,171
"Sähkö","Pertunmaa","2019",55246,33173,7916,140,5319,1353,620,710,61,238,4852,864,0
"Sähkö","Petäjävesi","2019",99450,80710,7104,382,2779,913,990,316,471,229,4966,590,0
"Sähkö","Pieksämäki","2019",435898,333616,29853,1170,15709,2868,9476,560,4042,510,31802,5609,683
"Sähkö","Pielavesi","2019",97673,77049,4357,0,5706,964,3107,329,3665,1230,1082,184,0
"Sähkö","Pietarsaari","2019",322294,237587,16668,1266,7269,5895,7871,92,6752,836,27872,9720,466
"Sähkö","Pihtipudas","2019",109014,73344,12290,762,10180,755,4073,959,589,709,4706,508,139
"Sähkö","Pirkkala","2019",345472,215161,48958,1609,6082,2157,7696,988,3998,3084,39493,15297,949
"Sähkö","Polvijärvi","2019",143479,95424,12275,555,8918,632,3182,216,2161,915,17960,1241,0
"Sähkö","Pomarkku","2019",69882,52412,6602,0,2166,334,603,0,1136,0,4554,1958,117
"Sähkö","Pori","2019",2033839,1437880,219025,29244,54382,6687,39342,8186,15299,3440,132080,86464,1810
"Sähkö","Pornainen","2019",190373,161193,8763,1014,5420,189,3775,1483,713,0,4176,2949,698
"Sähkö","Porvoo","2019",1195691,848851,48677,21878,27739,12846,17925,2839,11636,6374,144561,45001,7364
"Sähkö","Posio","2019",89913,62766,8385,998,5531,679,3833,978,1593,165,2927,1130,928
"Sähkö","Pudasjärvi","2019",212091,137910,7283,0,40127,1562,6739,0,4233,1401,9411,2267,1158
"Sähkö","Pukkila","2019",68868,51664,6502,0,1212,0,1313,76,2564,0,4175,987,375
"Sähkö","Punkalaidun","2019",94943,71102,10252,1146,2786,1080,1073,0,1225,0,4534,1268,477
"Sähkö","Puolanka","2019",82596,51522,9713,0,8669,1269,1069,1487,4842,1424,1715,701,185
"Sähkö","Puumala","2019",89349,61968,9934,799,6832,1105,1237,1650,1020,347,2238,1431,788
"Sähkö","Pyhtää","2019",181537,144963,11077,0,4086,1378,5922,1005,1180,3189,6915,1697,125
"Sähkö","Pyhäjoki","2019",134344,73255,9653,110,23183,12430,715,4365,3909,270,4747,1549,158
"Sähkö","Pyhäjärvi","2019",106953,88985,2257,0,4949,350,1718,1333,1634,220,4180,435,892
"Sähkö","Pyhäntä","2019",57499,36639,4313,0,882,1041,2056,0,385,0,10547,698,938
"Sähkö","Pyhäranta","2019",65805,51362,3589,0,1189,218,1061,0,907,0,5961,815,703
"Sähkö","Pälkäne","2019",244078,176792,28929,880,9288,713,3990,1266,4627,1553,9789,4520,1731
"Sähkö","Pöytyä","2019",257344,193767,21963,0,4960,3506,3545,262,920,455,21507,4363,2096
"Sähkö","Raahe","2019",485290,360102,20754,0,18477,5448,10243,1724,7487,1639,30077,28598,741
"Sähkö","Raasepori","2019",756282,519409,34276,32146,46607,8387,12540,9932,17244,3500,47337,22082,2822
"Sähkö","Raisio","2019",388923,287100,29919,1876,6084,1689,4973,754,3191,299,27974,23712,1352
"Sähkö","Rantasalmi","2019",119583,78930,15062,1949,10953,2261,1469,729,1988,300,5290,652,0
"Sähkö","Ranua","2019",120380,68978,11815,380,12073,2382,4013,554,4551,783,6098,7763,990
"Sähkö","Rauma","2019",854630,573165,78863,14224,33705,11684,13758,1225,25023,8022,63313,28944,2704
"Sähkö","Rautalampi","2019",116443,92149,2941,910,4355,25,1256,1317,1767,612,9274,1521,316
"Sähkö","Rautavaara","2019",47775,34261,7798,0,1300,0,313,204,1734,367,790,319,689
"Sähkö","Rautjärvi","2019",91346,68784,6381,0,2813,502,4737,362,1552,62,5527,626,0
"Sähkö","Reisjärvi","2019",49534,44563,1878,0,629,0,795,0,1183,0,426,60,0
"Sähkö","Riihimäki","2019",748493,450354,69580,116049,16271,6304,7438,2575,16345,6399,39299,17335,544
"Sähkö","Ristijärvi","2019",29128,19852,1849,0,1793,538,498,468,1685,1045,1227,0,173
"Sähkö","Rovaniemi","2019",1333261,1041317,98229,13022,50522,4969,27100,4265,14070,3170,43627,29314,3656
"Sähkö","Ruokolahti","2019",140963,121254,3901,240,5227,120,1892,333,2090,1068,4497,341,0
"Sähkö","Ruovesi","2019",129176,91847,10858,3268,5884,741,1617,260,3509,0,8071,2070,1051
"Sähkö","Rusko","2019",207000,152971,19832,0,4934,0,4202,0,850,0,16702,6964,545
"Sähkö","Rääkkylä","2019",76415,60032,1425,0,1728,1097,1072,0,4102,0,4501,1469,989
"Sähkö","Saarijärvi","2019",223325,161488,20640,1906,9364,1185,5700,2338,2666,529,7593,9289,627
"Sähkö","Salla","2019",95088,59548,6500,0,22404,894,1314,0,1773,0,2345,310,0
"Sähkö","Salo","2019",1421251,953710,183940,14599,40537,10058,37144,6605,15109,6337,89317,60018,3877
"Sähkö","Saltvik","2019",52822,30926,3091,0,1937,496,1748,0,685,0,8238,5701,0
"Sähkö","Sastamala","2019",632818,429000,64173,24959,28562,5008,7321,1798,16163,1215,39065,13818,1736
"Sähkö","Sauvo","2019",110343,87203,8971,615,4216,31,2341,0,4201,0,2412,239,114
"Sähkö","Savitaipale","2019",88911,61079,16404,0,3827,517,1197,0,749,420,3631,609,478
"Sähkö","Savonlinna","2019",942142,597713,104870,26198,71710,5041,19131,5993,17017,2439,74301,16924,805
"Sähkö","Savukoski","2019",27263,16059,3122,0,2643,1116,1121,724,761,786,370,382,179
"Sähkö","Seinäjoki","2019",1210312,770947,133007,8489,17409,7546,14349,119538,13352,1590,76727,46020,1338
"Sähkö","Sievi","2019",123677,94760,5582,0,1856,2461,3521,0,1895,91,10875,2636,0
"Sähkö","Siikainen","2019",40794,29284,2766,0,1047,0,901,224,1952,377,3882,361,0
"Sähkö","Siikajoki","2019",142227,108370,10413,595,4106,1597,1880,1246,6481,877,3426,2039,1197
"Sähkö","Siikalatva","2019",153653,118153,12386,293,8273,904,2252,173,5362,1171,3756,691,239
"Sähkö","Siilinjärvi","2019",671992,493614,78828,1100,12725,11833,10209,2107,12463,477,41883,6642,111
"Sähkö","Simo","2019",103447,79435,8154,97,4018,934,1806,0,770,770,4927,2264,272
"Sähkö","Sipoo","2019",568049,462407,16485,238,5832,2844,6925,3164,11841,5539,37107,12298,3369
"Sähkö","Siuntio","2019",254153,209867,6488,1270,7186,1353,6320,1537,3995,1637,11322,2815,363
"Sähkö","Sodankylä","2019",291283,185312,17333,1090,48278,2282,4147,2252,7018,2159,18110,3049,253
"Sähkö","Soini","2019",79777,39677,6981,0,4910,104,1943,0,228,1154,21645,3135,0
"Sähkö","Somero","2019",271636,182399,22871,1080,15344,1045,4729,689,5214,820,29778,7611,56
"Sähkö","Sonkajärvi","2019",88076,63906,13264,647,3079,554,2069,744,1569,0,1805,0,439
"Sähkö","Sotkamo","2019",342326,199349,29484,2107,65148,3966,2007,503,13720,917,21965,3014,146
"Sähkö","Sottunga","2019",3142,1338,449,0,837,0,125,0,0,0,393,0,0
"Sähkö","Sulkava","2019",90341,55786,11027,544,6255,2660,936,3018,3321,1150,4687,853,104
"Sähkö","Sund","2019",23839,17488,1974,0,2267,633,957,0,226,0,234,0,60
"Sähkö","Suomussalmi","2019",198529,149483,12212,0,14886,2973,3377,1087,8068,2226,3280,902,35
"Sähkö","Suonenjoki","2019",203423,141187,9666,3048,6702,1257,1545,220,7343,1373,21592,9178,312
"Sähkö","Sysmä","2019",105859,75133,10682,395,8022,273,763,1826,2720,520,4073,1053,399
"Sähkö","Säkylä","2019",248464,182679,18226,1335,9521,702,2567,125,1412,445,17115,14273,64
"Sähkö","Taipalsaari","2019",135741,107159,14286,640,6983,554,1798,416,1782,300,1527,150,146
"Sähkö","Taivalkoski","2019",87278,60526,4227,2642,8210,1107,2299,336,2624,805,3380,1069,53
"Sähkö","Taivassalo","2019",67259,44358,5097,0,3364,759,1725,0,400,424,9658,1211,263
"Sähkö","Tammela","2019",222979,165001,17233,0,4169,378,4096,0,3079,2415,21913,4184,511
"Sähkö","Tampere","2019",1753866,1177223,209027,91597,20026,6895,16818,20252,24508,2875,114005,67806,2834
"Sähkö","Tervo","2019",50419,35194,6138,944,2814,615,794,0,1957,0,1726,207,30
"Sähkö","Tervola","2019",81424,63825,3957,0,2671,554,1101,0,1462,966,6575,313,0
"Sähkö","Teuva","2019",115177,83202,9191,1528,3462,1881,967,584,2485,0,8963,2233,681
"Sähkö","Tohmajärvi","2019",150993,116168,6683,2266,3331,990,4166,270,3192,395,5098,8434,0
"Sähkö","Toholampi","2019",79765,70516,1016,0,1617,20,527,366,1960,50,1706,1738,249
"Sähkö","Toivakka","2019",71832,56222,7601,0,1913,78,529,813,1120,878,1529,361,788
"Sähkö","Tornio","2019",594442,463646,34475,573,29371,7096,11861,1666,10483,713,28994,3882,1682
"Sähkö","Turku","2019",1637056,857956,355130,52037,34402,37291,31459,21165,22194,6335,130562,85438,3087
"Sähkö","Tuusniemi","2019",86480,58927,14214,425,4777,389,1989,365,2339,0,2470,585,0
"Sähkö","Tuusula","2019",1310839,860264,79176,6384,34878,6726,23770,3029,11619,2126,186888,94565,1414
"Sähkö","Tyrnävä","2019",204330,168807,15322,948,2801,870,2115,1483,788,528,8225,2139,304
"Sähkö","Ulvila","2019",374431,284082,40930,3207,6279,3999,3842,1459,4341,927,22147,2961,257
"Sähkö","Urjala","2019",167147,111049,20159,4429,7173,1353,2023,0,3609,1101,9371,5001,1879
"Sähkö","Utajärvi","2019",79444,58439,8558,174,3571,377,1201,285,2240,0,2488,1997,114
"Sähkö","Utsjoki","2019",63191,36949,4649,220,16086,462,2003,0,449,741,1188,389,55
"Sähkö","Uurainen","2019",104747,85047,6906,0,914,439,423,688,730,0,8773,771,56
"Sähkö","Uusikaarlepyy","2019",171115,103239,10487,6506,6600,2517,5853,1052,6128,1023,17034,9465,1211
"Sähkö","Uusikaupunki","2019",440888,224124,25966,712,17851,1196,6939,3680,10819,923,129828,18517,333
"Sähkö","Vaala","2019",91131,61809,9336,2550,5806,1208,1965,418,1638,687,3745,1725,244
"Sähkö","Vaasa","2019",991749,680893,97478,48622,18916,3762,21074,3827,24137,7529,42506,41311,1694
"Sähkö","Valkeakoski","2019",366763,289893,23068,1920,4956,1780,6747,1227,12740,1321,12497,9802,812
"Sähkö","Vantaa","2019",2881808,2031126,319038,43885,15644,55919,184184,6877,24228,11539,73359,113699,2310
"Sähkö","Varkaus","2019",478174,265700,39817,5121,10407,2868,15719,1958,5143,0,125269,5911,261
"Sähkö","Vehmaa","2019",66028,53268,5253,0,1634,1327,1144,0,928,460,1929,85,0
"Sähkö","Vesanto","2019",67694,45896,7987,404,1402,24,1323,0,2208,738,7712,0,0
"Sähkö","Vesilahti","2019",133277,107255,14079,0,3268,1057,1704,591,1726,508,2065,287,737
"Sähkö","Veteli","2019",74246,57372,4280,0,774,2419,1205,433,1129,788,4756,543,547
"Sähkö","Vieremä","2019",99897,80017,7034,825,3267,0,1670,0,1377,814,3648,502,743
"Sähkö","Vihti","2019",936656,593066,127285,40214,32525,16280,8686,5726,12383,1993,66579,30297,1622
"Sähkö","Viitasaari","2019",139978,106285,13004,0,5292,1592,1820,0,2663,665,4360,4097,200
"Sähkö","Vimpeli","2019",87001,53774,2378,272,2733,3947,485,267,1838,86,18783,2247,191
"Sähkö","Virolahti","2019",132953,94527,8435,0,5293,2137,5199,576,1533,3148,1471,9890,744
"Sähkö","Virrat","2019",198853,147734,10153,2896,7214,1665,3680,0,8520,2867,9499,4239,386
"Sähkö","Vårdö","2019",12469,8980,1091,0,1329,55,372,0,439,0,0,0,203
"Sähkö","Vöyri","2019",121511,85861,5403,2971,4336,1258,5656,273,3256,1433,7105,2517,1442
"Sähkö","Ylitornio","2019",145330,104543,11278,1364,10531,214,2535,516,5636,829,6396,1345,143
"Sähkö","Ylivieska","2019",336645,246819,32671,834,13654,801,2577,2681,3259,3549,21091,6636,2073
"Sähkö","Ylöjärvi","2019",833299,601933,117493,2642,19810,1861,4536,5109,9110,1118,46376,19571,3740
"Sähkö","Ypäjä","2019",87558,62905,4648,2090,2111,65,295,555,4661,2328,4891,710,2299
"Sähkö","Ähtäri","2019",181610,127466,14439,1579,10658,2228,2657,423,9153,951,9147,2419,490
"Sähkö","Äänekoski","2019",448123,332503,43836,2908,12621,1580,4652,1232,6468,57,40226,1699,341
"Kivihiili","KOKO MAA","2019",1089155,711300,13261,33170,17229,12906,10863,3656,6038,21226,217449,37330,4727
"Kivihiili","Akaa","2019",6001,3131,0,2412,0,0,0,0,0,0,216,0,242
"Kivihiili","Alajärvi","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Alavieska","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Alavus","2019",610,610,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Asikkala","2019",864,864,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Askola","2019",384,384,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Aura","2019",943,943,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Brändö","2019",277,277,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Eckerö","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Enonkoski","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Enontekiö","2019",46,46,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Espoo","2019",48001,44938,836,0,1605,240,0,102,0,0,80,0,200
"Kivihiili","Eura","2019",1885,1457,0,0,208,0,50,0,0,0,170,0,0
"Kivihiili","Eurajoki","2019",3220,3220,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Evijärvi","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Finström","2019",160,160,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Forssa","2019",717,717,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Föglö","2019",197,197,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Geta","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Haapajärvi","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Haapavesi","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Hailuoto","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Halsua","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Hamina","2019",11023,10661,0,0,0,0,232,0,0,0,0,0,130
"Kivihiili","Hammarland","2019",150,150,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Hankasalmi","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Hanko","2019",5685,4856,0,374,0,0,0,0,0,0,455,0,0
"Kivihiili","Harjavalta","2019",1362,1362,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Hartola","2019",560,158,0,0,0,0,0,0,0,0,402,0,0
"Kivihiili","Hattula","2019",1634,1634,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Hausjärvi","2019",4392,4392,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Heinola","2019",168,168,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Heinävesi","2019",73,73,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Helsinki","2019",120126,60587,3204,12183,371,8347,515,1757,3174,9380,4530,16078,0
"Kivihiili","Hirvensalmi","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Hollola","2019",3566,2797,769,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Honkajoki","2019",124,124,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Huittinen","2019",865,865,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Humppila","2019",120,120,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Hyrynsalmi","2019",665,0,0,665,0,0,0,0,0,0,0,0,0
"Kivihiili","Hyvinkää","2019",6943,5688,0,1075,180,0,0,0,0,0,0,0,0
"Kivihiili","Hämeenkyrö","2019",1825,1170,0,0,0,0,0,0,0,0,655,0,0
"Kivihiili","Hämeenlinna","2019",16533,15042,0,507,484,0,0,0,0,0,81,0,419
"Kivihiili","Ii","2019",772,772,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Iisalmi","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Iitti","2019",2085,2085,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Ikaalinen","2019",271,271,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Ilmajoki","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Ilomantsi","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Imatra","2019",15170,14701,0,0,0,0,469,0,0,0,0,0,0
"Kivihiili","Inari","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Inkoo","2019",4015,4015,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Isojoki","2019",168,168,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Isokyrö","2019",1218,418,0,0,0,0,0,0,0,0,800,0,0
"Kivihiili","Janakkala","2019",5402,4445,0,0,395,0,0,0,0,0,562,0,0
"Kivihiili","Joensuu","2019",877,424,0,0,0,0,0,0,0,0,0,0,453
"Kivihiili","Jokioinen","2019",718,718,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Jomala","2019",555,555,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Joroinen","2019",457,457,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Joutsa","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Juuka","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Juupajoki","2019",100,100,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Juva","2019",162,162,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Jyväskylä","2019",1011,763,0,0,0,0,0,0,248,0,0,0,0
"Kivihiili","Jämijärvi","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Jämsä","2019",84374,75,0,0,0,0,124,0,0,0,79188,4970,17
"Kivihiili","Järvenpää","2019",6003,5815,0,0,0,0,0,0,0,0,0,0,188
"Kivihiili","Kaarina","2019",17301,14840,0,378,0,0,92,1050,0,0,941,0,0
"Kivihiili","Kaavi","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kajaani","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kalajoki","2019",570,570,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kangasala","2019",5410,5101,0,0,0,0,0,0,0,0,309,0,0
"Kivihiili","Kangasniemi","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kankaanpää","2019",1178,178,0,0,1000,0,0,0,0,0,0,0,0
"Kivihiili","Kannonkoski","2019",230,230,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kannus","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Karijoki","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Karkkila","2019",3707,2764,124,0,545,0,114,0,0,0,0,0,160
"Kivihiili","Karstula","2019",190,190,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Karvia","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kaskinen","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kauhajoki","2019",780,58,0,0,0,0,0,0,0,0,0,0,722
"Kivihiili","Kauhava","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kauniainen","2019",2503,2160,0,343,0,0,0,0,0,0,0,0,0
"Kivihiili","Kaustinen","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Keitele","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kemi","2019",1950,1561,0,389,0,0,0,0,0,0,0,0,0
"Kivihiili","Kemijärvi","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Keminmaa","2019",1225,805,0,0,0,0,0,0,0,420,0,0,0
"Kivihiili","Kemiönsaari","2019",2902,2902,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kempele","2019",2101,2101,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kerava","2019",7375,7240,0,0,0,0,0,135,0,0,0,0,0
"Kivihiili","Keuruu","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kihniö","2019",150,150,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kinnula","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kirkkonummi","2019",17301,14693,0,0,232,0,0,0,0,0,2376,0,0
"Kivihiili","Kitee","2019",97,97,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kittilä","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kiuruvesi","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kivijärvi","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kokemäki","2019",2995,2111,0,0,884,0,0,0,0,0,0,0,0
"Kivihiili","Kokkola","2019",2942,1197,754,0,867,0,0,0,0,0,124,0,0
"Kivihiili","Kolari","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Konnevesi","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kontiolahti","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Korsnäs","2019",96,96,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Koski Tl","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kotka","2019",18891,12713,0,1086,401,0,2233,0,0,0,0,2458,0
"Kivihiili","Kouvola","2019",23812,21016,0,1044,191,0,0,0,796,0,765,0,0
"Kivihiili","Kristiinankaupunki","2019",17442,541,0,0,0,0,2025,0,0,0,14260,616,0
"Kivihiili","Kruunupyy","2019",80,80,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kuhmo","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kuhmoinen","2019",98,98,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kumlinge","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kuopio","2019",4391,1357,0,0,0,0,424,0,0,0,2610,0,0
"Kivihiili","Kuortane","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kivihiili","Kurikka","2019",512,512,0,0,0,0,0,0,0,0,0,0,0
