"116h -- Rakennukset (lkm, m2) käyttötarkoituksen ja lämmitysaineen mukaan, 2019"

"Rakennuksen lämmitysaine","Alue","Vuosi","Rakennuksen kerrosala (m2) Yhteensä","Rakennuksen kerrosala (m2) Erilliset pientalot","Rakennuksen kerrosala (m2) Rivi- ja ketjutalot","Rakennuksen kerrosala (m2) Asuinkerrostalot","Rakennuksen kerrosala (m2) Liikerakennukset","Rakennuksen kerrosala (m2) Toimistorakennukset","Rakennuksen kerrosala (m2) Liikenteen rakennukset","Rakennuksen kerrosala (m2) Hoitoalan rakennukset","Rakennuksen kerrosala (m2) Kokoontumisrakennukset","Rakennuksen kerrosala (m2) Opetusrakennukset","Rakennuksen kerrosala (m2) Teollisuusrakennukset","Rakennuksen kerrosala (m2) Varastorakennukset","Rakennuksen kerrosala (m2) Muut rakennukset"
"Yhteensä","Kaskinen","2019",330932,69487,5890,20147,5020,9868,5120,2267,3726,5080,128694,73223,2410
"Yhteensä","Kauhajoki","2019",1554703,721271,122655,35163,109823,34471,31496,22115,27627,70452,323964,51238,4428
"Yhteensä","Kauhava","2019",1829127,874815,133797,59029,129169,38584,44898,40828,57183,41618,321708,71622,15876
"Yhteensä","Kauniainen","2019",740075,311996,93747,198180,17050,11900,3742,32054,26638,38392,3678,100,2598
"Yhteensä","Kaustinen","2019",437843,226922,29473,7525,27811,11779,8370,11133,12714,22192,53412,24181,2331
"Yhteensä","Keitele","2019",312397,124574,22372,10822,11542,2891,5923,4838,3750,8855,76277,39936,617
"Yhteensä","Kemi","2019",2375154,602939,135424,458142,190437,76666,79511,63352,48508,83261,474513,156491,5910
"Yhteensä","Kemijärvi","2019",855101,348197,53530,122741,67305,26085,24506,32989,21176,49713,85574,22744,541
"Yhteensä","Keminmaa","2019",786105,400319,62001,41734,62853,16264,33613,12834,8440,25680,77883,43048,1436
"Yhteensä","Kemiönsaari","2019",788310,429368,39787,63733,57752,12983,15948,16421,22079,23996,74928,27565,3750
"Yhteensä","Kempele","2019",1349698,638603,168153,104942,87163,52139,23325,29992,40463,59421,104300,36828,4369
"Yhteensä","Kerava","2019",2809718,622397,227694,883051,138845,59311,43408,59737,31468,108708,340915,281690,12494
"Yhteensä","Keuruu","2019",1061525,442715,72620,139989,91049,20779,32814,36259,41271,36275,110611,33949,3194
"Yhteensä","Kihniö","2019",200687,119244,12800,1409,6954,1124,4173,5101,2515,8328,25228,13153,658
"Yhteensä","Kinnula","2019",154926,94978,15282,599,9149,1506,1918,4739,1892,6380,15611,1342,1530
"Yhteensä","Kirkkonummi","2019",3027350,1356654,390401,439665,116201,96805,55903,52422,47109,121248,226676,115144,9122
"Yhteensä","Kitee","2019",1200156,509599,72679,110539,90623,22502,39431,24454,24335,51162,217226,34027,3579
"Yhteensä","Kittilä","2019",764447,303135,38605,32704,221960,20028,39438,14486,16084,25474,35427,12006,5100
"Yhteensä","Kiuruvesi","2019",714902,393459,58850,52518,40306,16723,19757,18876,23206,24011,47033,17115,3048
"Yhteensä","Kivijärvi","2019",127858,71774,10994,4839,10169,1212,1893,2158,6419,2578,12557,2465,800
"Yhteensä","Kokemäki","2019",854384,430659,52471,38444,43834,20032,26960,17775,18982,44856,102437,52050,5884
