"year","emission","energy_use","emission_factor","final_use","level5","municipality","emission_trade","gas"
2006,20.937,128.952,0.162362739624046,"district heating",NA,"Kouvola","Ei","CO2e"
2006,1.304,3.318,0.393007836045811,"district heating",NA,"Kristiinankaupunki","Ei","CO2e"
2006,0.146,5.162,0.028283611003487,"district heating",NA,"Kruunupyy","Ei","CO2e"
2006,1.62,175.762,0.00921700936493667,"district heating",NA,"Kuhmo","Ei","CO2e"
2006,0.536,2.42,0.221487603305785,"district heating",NA,"Kuhmoinen","Ei","CO2e"
2006,0.015,0.067,0.223880597014925,"district heating",NA,"Kumlinge","Ei","CO2e"
2006,24.36,81.837,0.297664870413138,"district heating",NA,"Kuopio","Ei","CO2e"
2006,1.095,9.446,0.115922083421554,"district heating",NA,"Kuortane","Ei","CO2e"
2006,19.82,63.78,0.310755722797115,"district heating",NA,"Kurikka","Ei","CO2e"
2006,0.025,0.969,0.0257997936016512,"district heating",NA,"Kustavi","Ei","CO2e"
2006,5.568,24.601,0.226332262916142,"district heating",NA,"Kuusamo","Ei","CO2e"
2006,0.393,1.769,0.22215941209723,"district heating",NA,"Kyyjärvi","Ei","CO2e"
2006,10.25,40.658,0.252102907176939,"district heating",NA,"Lahti","Ei","CO2e"
2006,6.332,14.2,0.445915492957747,"district heating",NA,"Laihia","Ei","CO2e"
2006,0.293,8.493,0.0344989991757918,"district heating",NA,"Laitila","Ei","CO2e"
2006,0.054,5.147,0.0104915484748397,"district heating",NA,"Lapinjärvi","Ei","CO2e"
2006,5.122,17.501,0.292668990343409,"district heating",NA,"Lapinlahti","Ei","CO2e"
2006,1.527,8.256,0.184956395348837,"district heating",NA,"Lappajärvi","Ei","CO2e"
2006,16.399,77.155,0.212546173287538,"district heating",NA,"Lappeenranta","Ei","CO2e"
2006,19.483,54.342,0.358525633947959,"district heating",NA,"Lapua","Ei","CO2e"
2006,13.93,51.985,0.267961912090026,"district heating",NA,"Laukaa","Ei","CO2e"
2006,0.558,2.513,0.222045364106645,"district heating",NA,"Lemi","Ei","CO2e"
2006,0.002,0.009,0.222222222222222,"district heating",NA,"Lemland","Ei","CO2e"
2006,17.663,70.314,0.251201752140399,"district heating",NA,"Lempäälä","Ei","CO2e"
2006,14.504,36.203,0.40062978206226,"district heating",NA,"Leppävirta","Ei","CO2e"
2006,0.135,0.607,0.222405271828666,"district heating",NA,"Lestijärvi","Ei","CO2e"
2006,6.563,16.114,0.407285590170038,"district heating",NA,"Lieksa","Ei","CO2e"
2006,6.764,29.803,0.226957017749891,"district heating",NA,"Lieto","Ei","CO2e"
2006,0.841,3.074,0.273584905660377,"district heating",NA,"Liminka","Ei","CO2e"
2006,2.828,18.851,0.150018566654289,"district heating",NA,"Liperi","Ei","CO2e"
2006,13.912,63.083,0.220534850910705,"district heating",NA,"Lohja","Ei","CO2e"
2006,1.932,6.067,0.318444041536179,"district heating",NA,"Loppi","Ei","CO2e"
2006,1.495,6.73,0.222139673105498,"district heating",NA,"Loviisa","Ei","CO2e"
2006,0.078,0.351,0.222222222222222,"district heating",NA,"Luhanka","Ei","CO2e"
2006,0.198,0.776,0.255154639175258,"district heating",NA,"Lumijoki","Ei","CO2e"
2006,0.215,0.967,0.222337125129266,"district heating",NA,"Luoto","Ei","CO2e"
2006,2.899,12.268,0.236305836322139,"district heating",NA,"Luumäki","Ei","CO2e"
2006,0.685,3.084,0.222114137483787,"district heating",NA,"Maalahti","Ei","CO2e"
2006,22.432,94.801,0.236621976561429,"district heating",NA,"Maarianhamina","Ei","CO2e"
2006,9.399,35.742,0.26296793688098,"district heating",NA,"Mäntsälä","Ei","CO2e"
2006,7.587,34.207,0.221796708276084,"district heating",NA,"Mänttä-Vilppula","Ei","CO2e"
2006,1.794,26.447,0.0678337807690853,"district heating",NA,"Mäntyharju","Ei","CO2e"
2006,0.156,0.703,0.221906116642959,"district heating",NA,"Marttila","Ei","CO2e"
2006,1.119,4.328,0.25854898336414,"district heating",NA,"Masku","Ei","CO2e"
2006,0.014,0.063,0.222222222222222,"district heating",NA,"Merijärvi","Ei","CO2e"
2006,0.616,2.77,0.222382671480144,"district heating",NA,"Merikarvia","Ei","CO2e"
2006,0.182,0.819,0.222222222222222,"district heating",NA,"Miehikkälä","Ei","CO2e"
2006,0.287,2.19,0.131050228310502,"district heating",NA,"Mikkeli","Ei","CO2e"
2006,2.126,8.382,0.253638749701742,"district heating",NA,"Muhos","Ei","CO2e"
2006,0.428,1.926,0.222222222222222,"district heating",NA,"Multia","Ei","CO2e"
2006,0.641,2.886,0.222106722106722,"district heating",NA,"Muonio","Ei","CO2e"
2006,5.56,25.139,0.221170293169975,"district heating",NA,"Mustasaari","Ei","CO2e"
2006,4.965,22.358,0.222068163520887,"district heating",NA,"Muurame","Ei","CO2e"
2006,1.1,9.227,0.119215346266392,"district heating",NA,"Mynämäki","Ei","CO2e"
2006,2.702,12.002,0.225129145142476,"district heating",NA,"Naantali","Ei","CO2e"
2006,2.107,9.486,0.222116803710732,"district heating",NA,"Nakkila","Ei","CO2e"
2006,3.689,7.302,0.505204053683922,"district heating",NA,"Närpiö","Ei","CO2e"
2006,22.112,100.106,0.220885860987353,"district heating",NA,"Nokia","Ei","CO2e"
2006,0.748,3.366,0.222222222222222,"district heating",NA,"Nousiainen","Ei","CO2e"
2006,0.507,9.383,0.0540338910796121,"district heating",NA,"Nurmes","Ei","CO2e"
2006,4.114,28.307,0.145335076129579,"district heating",NA,"Nurmijärvi","Ei","CO2e"
2006,10.488,42.54,0.24654442877292,"district heating",NA,"Orimattila","Ei","CO2e"
2006,0.198,0.894,0.221476510067114,"district heating",NA,"Oripää","Ei","CO2e"
2006,5.642,25.406,0.222073525938755,"district heating",NA,"Orivesi","Ei","CO2e"
2006,7.828,37.5,0.208746666666667,"district heating",NA,"Oulainen","Ei","CO2e"
2006,24.797,89.158,0.278124228897014,"district heating",NA,"Oulu","Ei","CO2e"
2006,0.481,2.162,0.222479185938945,"district heating",NA,"Padasjoki","Ei","CO2e"
2006,1.788,8.051,0.222084213141225,"district heating",NA,"Pälkäne","Ei","CO2e"
2006,1.23,10.682,0.115146976221681,"district heating",NA,"Paltamo","Ei","CO2e"
2006,3.125,34.478,0.0906375079761007,"district heating",NA,"Parainen","Ei","CO2e"
2006,1.785,27.086,0.065901203573802,"district heating",NA,"Parikkala","Ei","CO2e"
2006,11.356,28.498,0.398484104147659,"district heating",NA,"Parkano","Ei","CO2e"
2006,0.764,3.442,0.221963974433469,"district heating",NA,"Pedersören kunta","Ei","CO2e"
2006,0.467,2.1,0.222380952380952,"district heating",NA,"Pelkosenniemi","Ei","CO2e"
2006,0.933,4.201,0.222089978576529,"district heating",NA,"Pello","Ei","CO2e"
2006,0.82,6.306,0.130034887408817,"district heating",NA,"Perho","Ei","CO2e"
2006,0.264,1.19,0.221848739495798,"district heating",NA,"Pertunmaa","Ei","CO2e"
2006,0.861,8.948,0.0962226195797944,"district heating",NA,"Petäjävesi","Ei","CO2e"
2006,2.163,19.644,0.110109957238852,"district heating",NA,"Pielavesi","Ei","CO2e"
2006,1.746,10.216,0.170908379013312,"district heating",NA,"Pihtipudas","Ei","CO2e"
2006,2.412,10.865,0.221997238840313,"district heating",NA,"Pirkkala","Ei","CO2e"
2006,0.295,12.058,0.0244650854204677,"district heating",NA,"Polvijärvi","Ei","CO2e"
2006,0.791,3.051,0.259259259259259,"district heating",NA,"Pori","Ei","CO2e"
2006,0.162,2.637,0.0614334470989761,"district heating",NA,"Pornainen","Ei","CO2e"
2006,0.166,1.873,0.0886278697277096,"district heating",NA,"Porvoo","Ei","CO2e"
2006,0.379,9.901,0.0382789617210383,"district heating",NA,"Posio","Ei","CO2e"
2006,1.755,10.607,0.165456773828604,"district heating",NA,"Pöytyä","Ei","CO2e"
2006,11.669,45.837,0.254575997556559,"district heating",NA,"Pudasjärvi","Ei","CO2e"
2006,0.018,0.987,0.0182370820668693,"district heating",NA,"Pukkila","Ei","CO2e"
2006,0.659,2.969,0.221960255978444,"district heating",NA,"Punkalaidun","Ei","CO2e"
2006,0.443,14.077,0.0314697733892165,"district heating",NA,"Puolanka","Ei","CO2e"
2006,0.63,7.6,0.0828947368421053,"district heating",NA,"Puumala","Ei","CO2e"
2006,0.507,21.9,0.0231506849315068,"district heating",NA,"Pyhäjärvi","Ei","CO2e"
2006,0.978,5.711,0.171248467869025,"district heating",NA,"Pyhäjoki","Ei","CO2e"
2006,0.718,3.237,0.22181031819586,"district heating",NA,"Pyhäntä","Ei","CO2e"
2006,0.148,0.666,0.222222222222222,"district heating",NA,"Pyhäranta","Ei","CO2e"
2006,0.689,3.103,0.222043184015469,"district heating",NA,"Pyhtää","Ei","CO2e"
2006,7.406,67.075,0.110413715989564,"district heating",NA,"Raahe","Ei","CO2e"
2006,4.156,9.2,0.451739130434783,"district heating",NA,"Rääkkylä","Ei","CO2e"
2006,3.142,18.825,0.166905710491368,"district heating",NA,"Raasepori","Ei","CO2e"
2006,5.618,25.302,0.222037783574421,"district heating",NA,"Raisio","Ei","CO2e"
2006,0.699,16.6,0.0421084337349398,"district heating",NA,"Rantasalmi","Ei","CO2e"
2006,0.415,1.87,0.22192513368984,"district heating",NA,"Ranua","Ei","CO2e"
2006,2.411,10.86,0.222007366482505,"district heating",NA,"Rauma","Ei","CO2e"
2006,1.724,5.737,0.300505490674569,"district heating",NA,"Rautalampi","Ei","CO2e"
2006,0.35,5.001,0.0699860027994401,"district heating",NA,"Rautavaara","Ei","CO2e"
2006,3.855,17.345,0.222254251945806,"district heating",NA,"Rautjärvi","Ei","CO2e"
2006,3.562,7.444,0.478506179473401,"district heating",NA,"Reisjärvi","Ei","CO2e"
2006,18.43,126.292,0.145931650460837,"district heating",NA,"Riihimäki","Ei","CO2e"
2006,0.566,2.547,0.222222222222222,"district heating",NA,"Ristijärvi","Ei","CO2e"
2006,11.976,39.94,0.299849774661993,"district heating",NA,"Rovaniemi","Ei","CO2e"
2006,2.314,10.548,0.219378081152825,"district heating",NA,"Ruokolahti","Ei","CO2e"
2006,3.703,12.147,0.304848933893142,"district heating",NA,"Ruovesi","Ei","CO2e"
2006,0.984,4.43,0.222121896162528,"district heating",NA,"Rusko","Ei","CO2e"
2006,9.031,27.556,0.327732617215851,"district heating",NA,"Saarijärvi","Ei","CO2e"
2006,6.766,27.68,0.244436416184971,"district heating",NA,"Säkylä","Ei","CO2e"
2006,5.088,19.388,0.262430369300598,"district heating",NA,"Salla","Ei","CO2e"
2006,7.665,34.222,0.223978727134592,"district heating",NA,"Salo","Ei","CO2e"
2006,0.061,0.273,0.223443223443223,"district heating",NA,"Saltvik","Ei","CO2e"
2006,0.353,6.77,0.0521418020679468,"district heating",NA,"Sastamala","Ei","CO2e"
2006,0.408,1.839,0.221859706362153,"district heating",NA,"Sauvo","Ei","CO2e"
2006,0.956,9.141,0.104583743572913,"district heating",NA,"Savitaipale","Ei","CO2e"
2006,1.803,8.123,0.221962329188723,"district heating",NA,"Savonlinna","Ei","CO2e"
2006,0.074,6.757,0.0109516057421933,"district heating",NA,"Savukoski","Ei","CO2e"
